Listing...
libbsd0/oldstable 0.8.3-1+deb9u1 amd64 [upgradable from: 0.8.3-1]
libcaca0/oldstable 0.99.beta19-2.1~deb9u2 amd64 [upgradable from: 0.99.beta19-2+b2]
libcairo-gobject2/oldstable 1.14.8-1+deb9u1 amd64 [upgradable from: 1.14.8-1]
libcairo2/oldstable 1.14.8-1+deb9u1 amd64 [upgradable from: 1.14.8-1]
libcomerr2/oldstable 1.43.4-2+deb9u2 amd64 [upgradable from: 1.43.4-2]
libcups2/oldstable 2.2.1-8+deb9u6 amd64 [upgradable from: 2.2.1-8+deb9u3]
libcupsimage2/oldstable 2.2.1-8+deb9u6 amd64 [upgradable from: 2.2.1-8+deb9u3]
libcurl3/oldstable 7.52.1-5+deb9u13 amd64 [upgradable from: 7.52.1-5+deb9u9]
libcurl3-gnutls/oldstable 7.52.1-5+deb9u13 amd64 [upgradable from: 7.52.1-5+deb9u9]
libdbus-1-3/oldstable 1.10.32-0+deb9u1 amd64 [upgradable from: 1.10.28-0+deb9u1]
libdns-export162/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libdns162/oldstable 1:9.10.3.dfsg.P4-12.3+deb9u8 amd64 [upgradable from: 1:9.10.3.dfsg.P4-12.3+deb9u5]
libebml4v5/oldstable 1.3.4-1+deb9u2 amd64 [upgradable from: 1.3.4-1]
libexif12/oldstable 0.6.21-2+deb9u5 amd64 [upgradable from: 0.6.21-2+b2]
libexpat1/oldstable,oldstable 2.2.0-2+deb9u3 amd64 [upgradable from: 2.2.0-2+deb9u1]
libexpat1-dev/oldstable,oldstable 2.2.0-2+deb9u3 amd64 [upgradable from: 2.2.0-2+deb9u1]
libfaad2/oldstable,oldstable 2.8.0~cvs20161113-1+deb9u2 amd64 [upgradable from: 2.8.0~cvs20161113-1+deb9u1]
libflac8/oldstable 1.3.2-2+deb9u1 amd64 [upgradable from: 1.3.2-1]
libfreetype6/oldstable 2.6.3-3.2+deb9u2 amd64 [upgradable from: 2.6.3-3.2]
libfreetype6-dev/oldstable 2.6.3-3.2+deb9u2 amd64 [upgradable from: 2.6.3-3.2]
libfribidi0/oldstable 0.19.7-1+deb9u1 amd64 [upgradable from: 0.19.7-1+b1]
libgd3/oldstable 2.2.4-2+deb9u5 amd64 [upgradable from: 2.2.4-2+deb9u4]
libglib2.0-0/oldstable 2.50.3-2+deb9u2 amd64 [upgradable from: 2.50.3-2]
libglib2.0-bin/oldstable 2.50.3-2+deb9u2 amd64 [upgradable from: 2.50.3-2]
libglib2.0-data/oldstable,oldstable 2.50.3-2+deb9u2 all [upgradable from: 2.50.3-2]
libgnutls30/oldstable 3.5.8-5+deb9u5 amd64 [upgradable from: 3.5.8-5+deb9u4]
libgs9/oldstable 9.26a~dfsg-0+deb9u7 amd64 [upgradable from: 9.26a~dfsg-0+deb9u3]
libgs9-common/oldstable,oldstable 9.26a~dfsg-0+deb9u7 all [upgradable from: 9.26a~dfsg-0+deb9u3]
